sl_no,ssc_p,ssc_b,hsc_p,hsc_b,degree_p,workex,etest_p,mba_p,salary
1,67,Others,91,Others,58,0,55,58.8,270000
2,79.33,Central,78.33,Others,77.48,1,86.5,66.28,200000
3,65,Central,68,Central,64,0,75,57.8,250000
4,56,Central,52,Central,52,0,66,59.43,19924
5,85.8,Central,73.6,Central,73.3,0,96.8,55.5,425000
6,55,Others,49.8,Others,67.25,1,55,51.58,250000
7,46,Others,49.2,Others,79,0,74.28,53.29,14562
8,82,Central,64,Central,66,1,67,62.14,252000
9,73,Central,79,Central,72,0,91.34,61.29,231000
10,58,Central,70,Central,61,0,54,52.21,11523
11,58,Central,61,Central,60,1,62,60.85,260000
12,69.6,Central,68.4,Central,78.3,1,60,63.7,250000
13,47,Central,55,Others,65,0,62,65.04,16469
14,77,Central,87,Central,59,0,68,68.63,218000
15,62,Central,47,Central,50,0,76,54.96,19776
16,65,Central,75,Central,69,1,72,64.66,200000
17,63,Central,66.2,Central,65.6,1,60,62.54,300000
18,55,Central,67,Central,64,0,60,67.28,10707
19,63,Central,66,Central,64,0,68,64.08,16155
20,60,Others,67,Others,70,1,50.48,77.89,236000
21,62,Others,65,Others,66,0,50,56.7,265000
22,79,Others,76,Others,85,0,95,69.06,393000
23,69.8,Others,60.8,Others,72.23,0,55.53,68.81,360000
24,77.4,Others,60,Others,64.74,1,92,63.62,300000
25,76.5,Others,97.7,Others,78.86,0,97.4,74.01,360000
26,52.58,Others,54.6,Central,50.2,1,76,65.33,99870
27,71,Others,79,Others,66,1,94,57.55,240000
28,63,Others,67,Others,66,0,68,57.69,265000
29,76.76,Others,76.5,Others,67.5,1,73.35,64.15,350000
30,62,Central,67,Central,58,0,77,51.29,17582
31,64,Central,73.5,Central,73,0,52,56.7,250000
32,67,Central,53,Central,65,0,64,58.32,10546
33,61,Central,81,Central,66.4,0,50.89,62.21,278000
34,87,Others,65,Others,81,1,88,72.78,260000
35,62,Others,51,Others,52,0,68.44,62.77,11241
